iter	Passed	Remaining
898	2300	701
899	2302	698
900	2305	695
901	2308	693
902	2311	691
903	2313	688
904	2316	685
905	2318	683
906	2321	680
907	2324	678
908	2327	676
909	2330	673
910	2333	671
911	2335	668
912	2338	665
913	2341	663
914	2343	660
915	2347	658
916	2349	655
917	2352	653
918	2355	651
919	2358	648
920	2361	646
921	2364	643
922	2367	641
923	2369	638
924	2372	636
925	2375	633
926	2378	631
927	2381	628
928	2383	626
929	2386	623
930	2389	621
931	2392	618
932	2395	616
933	2397	613
934	2400	611
935	2402	608
936	2405	605
937	2408	603
938	2411	600
939	2413	598
940	2416	595
941	2419	593
942	2421	590
943	2424	588
944	2427	585
945	2430	583
946	2432	580
947	2435	577
948	2437	575
949	2440	572
950	2442	570
951	2445	567
952	2447	565
953	2450	562
954	2452	559
955	2455	557
956	2458	554
957	2460	552
958	2462	549
959	2465	547
960	2468	544
961	2470	541
962	2473	539
963	2476	536
964	2478	534
965	2481	531
966	2484	529
967	2486	526
968	2489	524
969	2491	521
970	2494	518
971	2496	516
972	2499	513
973	2502	511
974	2504	508
975	2506	506
976	2509	503
977	2511	500
978	2514	498
979	2516	495
980	2519	493
981	2522	490
982	2524	488
983	2527	485
984	2529	482
985	2532	480
986	2535	477
987	2537	475
988	2540	472
989	2542	470
990	2545	467
991	2547	464
992	2550	462
993	2552	459
994	2555	457
995	2557	454
996	2560	451
997	2562	449
998	2565	446
999	2568	444
1000	2571	441
1001	2573	439
1002	2576	436
1003	2578	434
1004	2580	431
1005	2583	428
1006	2585	426
1007	2588	423
1008	2591	421
1009	2593	418
1010	2596	416
1011	2599	413
1012	2602	410
1013	2605	408
1014	2608	406
1015	2610	403
1016	2613	400
1017	2615	398
1018	2618	395
1019	2621	393
1020	2624	390
1021	2626	388
1022	2629	385
1023	2631	382
1024	2634	380
1025	2637	377
1026	2640	375
1027	2643	372
1028	2645	370
1029	2648	367
1030	2650	365
1031	2653	362
1032	2656	359
1033	2658	357
1034	2660	354
1035	2663	352
1036	2666	349
1037	2668	347
1038	2671	344
1039	2674	341
1040	2676	339
1041	2679	336
1042	2681	334
1043	2684	331
1044	2686	329
1045	2689	326
1046	2691	323
1047	2694	321
1048	2696	318
1049	2699	316
1050	2701	313
1051	2704	311
1052	2706	308
1053	2709	305
1054	2712	303
1055	2714	300
1056	2717	298
1057	2720	295
1058	2722	293
1059	2725	290
1060	2727	287
1061	2730	285
1062	2732	282
1063	2735	280
1064	2737	277
1065	2740	275
1066	2742	272
1067	2745	269
1068	2747	267
1069	2749	264
1070	2752	262
1071	2754	259
1072	2757	256
1073	2759	254
1074	2762	251
1075	2764	249
1076	2766	246
1077	2769	244
1078	2771	241
1079	2773	238
1080	2776	236
1081	2778	233
1082	2781	231
1083	2783	228
1084	2786	225
1085	2788	223
1086	2791	220
1087	2793	218
1088	2796	215
1089	2798	213
1090	2801	210
1091	2803	207
1092	2806	205
1093	2808	202
1094	2811	200
1095	2814	197
1096	2816	195
1097	2819	192
1098	2821	190
1099	2824	187
1100	2826	184
1101	2829	182
1102	2831	179
1103	2834	177
1104	2836	174
1105	2838	171
1106	2841	169
1107	2844	166
1108	2846	164
1109	2849	161
1110	2851	159
1111	2854	156
1112	2857	154
1113	2859	151
1114	2862	148
1115	2864	146
1116	2867	143
1117	2870	141
1118	2872	138
1119	2875	136
1120	2877	133
1121	2880	130
1122	2882	128
1123	2885	125
1124	2888	123
1125	2890	120
1126	2893	118
1127	2896	115
1128	2898	112
1129	2901	110
1130	2904	107
1131	2906	105
1132	2910	102
1133	2912	100
1134	2915	97
1135	2918	95
1136	2920	92
1137	2923	89
1138	2925	87
1139	2928	84
1140	2930	82
1141	2933	79
1142	2936	77
1143	2939	74
1144	2941	71
1145	2944	69
1146	2946	66
1147	2949	64
1148	2951	61
1149	2954	59
1150	2957	56
1151	2959	53
1152	2962	51
1153	2964	48
1154	2967	46
1155	2970	43
1156	2973	41
1157	2975	38
1158	2978	35
1159	2981	33
1160	2983	30
1161	2985	28
1162	2988	25
1163	2990	23
1164	2993	20
1165	2996	17
1166	2998	15
1167	3001	12
1168	3003	10
1169	3006	7
1170	3008	5
1171	3011	2
1172	3014	0
