iter	Logloss
0	0.6641441321
1	0.6347906573
2	0.6111361952
3	0.5884864589
4	0.567743861
5	0.5435684531
6	0.523548528
7	0.505510621
8	0.486413993
9	0.4707907524
10	0.4540587158
11	0.439739444
12	0.4256008532
13	0.4121602313
14	0.3989615407
15	0.387013716
16	0.3763157916
17	0.3653901644
18	0.3559749429
19	0.3474302062
20	0.3393532353
21	0.328452668
22	0.3207042903
23	0.3136705709
24	0.3051772495
25	0.2984812075
26	0.2917319602
27	0.286129365
28	0.2811809093
29	0.2765795225
30	0.2685076595
31	0.2644415216
32	0.258938938
33	0.2535994935
34	0.2497319771
35	0.2451994892
36	0.2404851194
37	0.2359348216
38	0.2320722195
39	0.2261256998
40	0.2218440166
41	0.2193958741
42	0.214225428
43	0.2108964263
44	0.2079921502
45	0.205170639
46	0.2021752207
47	0.1988852592
48	0.1962035592
49	0.1932309077
50	0.1904788951
51	0.1881354798
52	0.1855050047
53	0.1835337781
54	0.1811734751
55	0.1782634043
56	0.1758136428
57	0.173319426
58	0.1712270321
59	0.169539259
60	0.1678402286
61	0.1656732822
62	0.1638959277
63	0.1616535407
64	0.1597378024
65	0.1583338289
66	0.1567234174
67	0.1550630167
68	0.1534473088
69	0.1520968596
70	0.1502748812
71	0.1488466524
72	0.1473599365
73	0.1460578881
74	0.1448863753
75	0.1437880162
76	0.1422781027
77	0.140912823
78	0.1393843525
79	0.1381820162
80	0.1369040072
81	0.1357912551
82	0.1347281117
83	0.1336223462
84	0.1324585737
85	0.1315746248
86	0.1305068066
87	0.1294610339
88	0.1285081137
89	0.1276122635
90	0.1264179835
91	0.1257233982
92	0.1247343739
93	0.1236635707
94	0.1230555432
95	0.1222017343
96	0.1215339576
97	0.1208512516
98	0.1199716131
99	0.1192106123
100	0.118479126
101	0.117870107
102	0.1171292252
103	0.1163301964
104	0.1155781844
105	0.1147968144
106	0.1139474532
107	0.1131828628
108	0.1122896584
109	0.1116000942
110	0.1108443323
111	0.11025104
112	0.1094118742
113	0.1086422141
114	0.1079291664
115	0.1073682111
116	0.1068740379
117	0.1062978166
118	0.1056962763
119	0.1050688689
120	0.1046540918
121	0.1040516628
122	0.1033283555
123	0.1028786323
124	0.1022359851
125	0.1015944364
126	0.1010908776
127	0.1004519079
128	0.09981999285
129	0.09945196108
130	0.09907445338
131	0.09853464457
132	0.09808469093
133	0.0976271753
134	0.09722828655
135	0.09667413355
136	0.09613277871
137	0.09580637394
138	0.0951567842
139	0.09474831441
140	0.09417463925
141	0.09363785775
142	0.09319197802
143	0.09275529723
144	0.09245087496
145	0.09197223246
146	0.09167863903
147	0.0913186252
148	0.09085654188
149	0.09050770999
150	0.09010328485
151	0.08987516678
152	0.08957880288
153	0.08905361487
154	0.08882260722
155	0.08841306335
156	0.08800807003
157	0.08774080793
158	0.08743078479
159	0.08703004657
160	0.08670733758
161	0.08633122848
162	0.08598094621
163	0.08562321616
164	0.08521003793
165	0.08479181341
166	0.08452035093
167	0.08422213408
168	0.0838341422
169	0.08356896418
170	0.08319512303
171	0.08283231892
172	0.08242899561
173	0.08217732022
174	0.08180755427
175	0.08155556734
176	0.08107315807
177	0.08071997386
178	0.08042811367
179	0.08001974733
180	0.07973516091
181	0.07951829435
182	0.07928250626
183	0.07906843698
184	0.07886167233
185	0.07854333951
186	0.07824036089
187	0.07792967804
188	0.07769529818
189	0.07730131007
190	0.0769805742
191	0.07650485223
192	0.07614681257
193	0.07586282697
194	0.07563233681
195	0.07538417804
196	0.07511899605
197	0.07495608609
198	0.07465448994
199	0.07440150517
200	0.07409725412
201	0.07384345265
202	0.07363445181
203	0.07344133692
204	0.07320735641
205	0.07294898174
206	0.07273155082
207	0.07243301869
208	0.07221494888
209	0.07201752113
210	0.07183050396
211	0.07163203574
212	0.07144623732
213	0.07126077987
214	0.07100706749
215	0.07083205173
216	0.07061201851
217	0.07031347014
218	0.0701051492
219	0.06993352456
220	0.06973514908
221	0.06949551592
222	0.06913391249
223	0.06895263075
224	0.06872894539
225	0.06846320881
226	0.0682356322
227	0.06813379936
228	0.06801062766
229	0.06781990897
230	0.06758080206
231	0.06731132999
232	0.06708618314
233	0.06690540258
234	0.066759586
235	0.06654289216
236	0.06626641433
237	0.0660998712
238	0.06586280985
239	0.06563265736
240	0.06539808488
241	0.06523360041
242	0.0650550485
243	0.06488793884
244	0.06467644755
245	0.06451684699
246	0.06441899926
247	0.0642157587
248	0.0640355045
249	0.06376206229
250	0.06358966249
251	0.06341538691
252	0.0632601197
253	0.06313812749
254	0.06299340606
255	0.06277475332
256	0.06265716896
257	0.06258256133
258	0.06235747061
259	0.06225780861
260	0.06206932955
261	0.06191421602
262	0.06180996735
263	0.06162861532
264	0.06145721522
265	0.0611937163
266	0.06098674851
267	0.06085945228
268	0.06070074821
269	0.06058843871
270	0.06043810575
271	0.06031977312
272	0.0601334498
273	0.05987498407
274	0.05968819368
275	0.05955596366
276	0.05943875655
277	0.05928021206
278	0.05919099674
279	0.05911419905
280	0.05892380026
281	0.05880568878
282	0.05867745494
283	0.05851870853
284	0.05840240048
285	0.05825908667
286	0.05809945757
287	0.05801142471
288	0.05785600724
289	0.05768470345
290	0.05757365569
291	0.05731151523
292	0.05714854777
293	0.05703755425
294	0.05691634494
295	0.05682796783
296	0.05665091913
297	0.05653833978
298	0.05643043444
299	0.05625602334
300	0.05609497506
301	0.05588867317
302	0.05574564751
303	0.05562444972
304	0.05547075485
305	0.05539719505
306	0.05520325172
307	0.05498590501
308	0.05487010256
309	0.05474664925
310	0.05463987356
311	0.05449746429
312	0.05439225658
313	0.05426770609
314	0.05416155657
315	0.05406919934
316	0.05387995468
317	0.05376635576
318	0.05358707981
319	0.05342547089
320	0.05328527983
321	0.05317786028
322	0.05310513987
323	0.05299993155
324	0.05292697735
325	0.05281911513
